Dimension: 20

Sample seed: 7

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 20
Sf-sfd,0.6222977009283275,0.9539923208007806,1.7241279333955644,434.0918493643948,107.0871033668518
SF-SFD average,0.6496914354225027,0.8575935654925481,1.6040208890682235,465.90047703829356,
LHS,0.6674355352833956,0.8851157330316637,1.8649763050455055,474.35600373152386,
Sobol,0.8617777281271719,1.0250762166785454,2.1959189734392273,587.5966666144548,
Random best,0.6583113994788947,0.9135181003254447,1.846877851089876,464.2090986207486,
Random average,0.8112403648309744,0.9272917020777305,1.7314423563692967,570.1085479833323,

Sample size: 200


The dimension of the input space is: 20
Sf-sfd,0.33771987237013246,0.8775251670871675,2.9021079383240878,339.8399146239825,294.11738109588623
SF-SFD average,0.36270806673509415,0.8137038746947427,2.865185894139147,371.4992494323982,
LHS,0.33313414152174303,0.8395658621264123,3.073098240144744,338.5584759888185,
Sobol,0.3330679327919226,0.9527086693180398,3.642890053011315,327.2803689275619,
Random best,0.36353320661162325,0.9033531394114154,2.9379378015011532,363.1403543990044,
Random average,0.4092785374489133,0.8462269939210121,2.957693376658783,415.3571778181691,

Sample size: 300


The dimension of the input space is: 20
Sf-sfd,0.2318444257734038,0.8364079112889002,3.8686884913430277,288.736182168733,363.10570764541626
SF-SFD average,0.25070121298835824,0.7885376901720338,3.7670390648315957,316.4481457397586,
LHS,0.21046361918301226,0.8077342058153646,3.8164596485231224,264.21622964625215,
Sobol,0.19787171571604656,0.8931826624799025,4.465677495884411,242.15606597830666,
Random best,0.24978945886150683,0.8618476152551563,3.9428812343303346,308.8410929355029,
Random average,0.273653868883569,0.7973576213693194,3.868915017191248,344.4159917988205,

Sample size: 400


The dimension of the input space is: 20
Sf-sfd,0.17791559486061814,0.8322833366477829,4.601387244967819,256.0548210569657,478.17881417274475
SF-SFD average,0.1914791034605864,0.7610916687808174,4.55496952878301,280.9952639451472,
LHS,0.1719084015690946,0.8414019275923558,4.659652081813396,246.75313426046517,
Sobol,0.13856653970714383,0.8812555407627234,5.423492625874332,196.3317503204263,
Random best,0.1874654119104564,0.8764367544862366,4.8989886121162804,266.32543520210817,
Random average,0.20363680657928002,0.781549223959312,4.647604804358279,297.11149864198165,

Sample size: 500


The dimension of the input space is: 20
Sf-sfd,0.15146025362831583,0.8660546696445991,5.412350195737847,241.30211440974549,660.2641711235046
SF-SFD average,0.1619253839073239,0.7626940566026709,5.335151304631277,265.4135795104998,
LHS,0.12964592676490394,0.6670527924298514,5.517017167391585,217.89489958400753,
Sobol,0.10522325515463482,0.7967696774760649,6.238567754829733,170.5400379704037,
Random best,0.14387695960978242,0.7281933830308194,5.462164319794844,237.9569509612334,
Random average,0.16320475764525136,0.7548034164478206,5.324822824210059,268.0715102222767,
