Dimension: 5

Sample seed: 2

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 10


The dimension of the input space is: 5
Sf-sfd,0.3394747674133065,0.11632533879030688,0.24227311780730432,-0.006374563061434885,734.2481400966644
LHS,0.06181393077010622,0.4127941078676449,0.3939869520566232,-0.24832237638472066,
Sobol,0.08830562196310043,0.45069390943299864,0.23686746099831107,-0.19975191615606977,
Random,0.13968893212986422,0.4874255590877968,0.5927842295854221,-0.31350695218111824,

Sample size: 40


The dimension of the input space is: 5
Sf-sfd,0.20817416458477545,0.14030899687747633,1.414782673689844,-0.4489725019941816,1625.6036565303802
LHS,0.01337988329941342,0.12827917636261993,1.4712119333649423,-0.5287037421427162,
Sobol,0.009290960844093643,0.22371595411369302,1.6361091797743426,-0.6168447243479807,
Random,0.027682489963949175,0.23997991889232384,1.5218325046290484,-0.5780433111858078,

Sample size: 70


The dimension of the input space is: 5
Sf-sfd,0.1252592518473803,0.08757642026754581,1.95308025935823,-0.6384658092594652,2465.170860528946
LHS,0.008433343398241533,0.15607004534536043,1.8448780909856601,-0.6641715976442597,
Sobol,0.0033724159084285166,0.22371595411369302,2.3171685242007074,-0.845837354135324,
Random,0.018926181248141605,0.21158917587848913,2.1861458514082805,-0.7929362820128759,

Sample size: 100


The dimension of the input space is: 5
Sf-sfd,0.153733184035582,0.1372147844873904,2.528663577964136,-0.8373817261386481,4364.156555891037
LHS,0.003893027075625888,0.12037743549669351,2.5462111882408327,-0.8875651988873,
Sobol,0.0017136747534114427,0.20085875206535064,2.804264684766013,-1.0011365873593174,
Random,0.015331674813057417,0.09365134898680973,2.7450215039962895,-0.9411137260566806,
Dimension: 5

Sample seed: 3

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 10


The dimension of the input space is: 5
Sf-sfd,0.4519784711641033,0.4043288559796739,0.4610180249787408,-0.13778946993143712,742.5396282672882
LHS,0.05468977761796645,0.5046816650716939,0.6016562809668247,-0.3505493894735174,
Sobol,0.08830562196310043,0.45069390943299864,0.23686746099831107,-0.19975191615606977,
Random,0.13310038725652396,0.4355528290456942,0.6562277726318803,-0.3195600714736835,

Sample size: 40


The dimension of the input space is: 5
Sf-sfd,0.115714126633085,0.19282018231309037,1.404862764469938,-0.49398960671664777,1554.294914007187
LHS,0.01422269126161213,0.21437288729570367,1.0900458293570376,-0.43006534179704303,
Sobol,0.009290960844093643,0.22371595411369302,1.6361091797743426,-0.6168447243479807,
Random,0.0396059572652705,0.16626722902097638,1.6485605458353283,-0.591740605863678,

Sample size: 70


The dimension of the input space is: 5
Sf-sfd,0.22650827283150377,0.1322042632819506,2.0071420670772175,-0.6376126858425547,2581.232008934021
LHS,0.00858616629445308,0.12752353310935302,1.852834393235827,-0.6572572533502423,
Sobol,0.0033724159084285166,0.22371595411369302,2.3171685242007074,-0.845837354135324,
Random,0.01390110209449702,0.14645846084516087,2.213708534360783,-0.782088631037149,

Sample size: 100


The dimension of the input space is: 5
Sf-sfd,0.17082942724432204,0.09897239979708437,2.586060230340269,-0.838067734297677,4704.517697572708
LHS,0.00410908829570622,0.07981728820548249,2.480877436721771,-0.8521952122105159,
Sobol,0.0017136747534114427,0.20085875206535064,2.804264684766013,-1.0011365873593174,
Random,0.012194418466819457,0.13011254781135773,2.7302048656446374,-0.9493743316630585,
