Dimension: 25

Sample seed: 8

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 25
Sf-sfd,1.5606917205301967,1.0051096984210017,1.341216672889852,1550.33584725026,146.33656573295593
SF-SFD average,1.623553070766242,0.9897878227742211,1.3289109306509872,1619.002550143331,
LHS,2.223479826676753,1.1286457148702929,1.7788682222195884,2136.657257815629,
Sobol,4.477601097564865,1.082982715697716,1.9239319053270885,4350.966687269746,
Random best,2.2184227978637896,1.1396420236134177,1.4749621829860453,2128.3450979836593,
Random average,2.549231333350317,1.1308555831671503,1.559794802700207,2450.3342821554834,

Sample size: 200


The dimension of the input space is: 25
Sf-sfd,0.9678466360089102,1.037054023539754,2.6969241539512634,1345.7183737257112,301.2757954597473
SF-SFD average,1.0048384456286101,0.9829423923095566,2.584975150916229,1416.6042118460716,
LHS,1.1316263330319973,1.0480902692913092,2.8376032649400793,1568.430852820374,
Sobol,1.5756947512592845,1.082982715697716,3.3842006976787613,2161.252495437795,
Random best,1.1531519950489617,1.0235634759760381,2.695069497655027,1608.8382750055644,
Random average,1.2812803982690588,1.0581202695032186,2.766162462424894,1771.753849659405,

Sample size: 300


The dimension of the input space is: 25
Sf-sfd,0.7093925996205881,1.0255700978867852,3.4354659496946827,1211.163444758966,499.45382595062256
SF-SFD average,0.730535765609107,0.960269556587595,3.511525974129026,1267.4917593932964,
LHS,0.7442726392494823,1.0658355109382076,3.76654005016702,1256.871817915381,
Sobol,0.8857802362613008,1.082982715697716,4.397848676355794,1487.1291649464479,
Random best,0.7822792104661582,1.1140023735025768,3.6699354500559007,1305.1741693082024,
Random average,0.8568642356117163,1.0253168023319175,3.68338869751494,1462.2075455819972,

Sample size: 400


The dimension of the input space is: 25
Sf-sfd,0.5297734468145547,0.9818607799876229,4.314041404337166,1055.1684173005178,978.090222120285
SF-SFD average,0.5534789225709106,0.9357667877750112,4.264538749627271,1115.1418205091304,
LHS,0.5762522419925702,0.9917196939506361,4.425185879953702,1144.6690483363477,
Sobol,0.6033066477647218,1.082982715697716,5.380177711712297,1168.8670489421609,
Random best,0.5948572350289894,1.0547506399528477,4.549852306766026,1162.7521959516614,
Random average,0.6431866125842199,0.9910882445912231,4.481765795845777,1277.68318244748,

Sample size: 500


The dimension of the input space is: 25
Sf-sfd,0.446214760923783,0.9693909957864948,4.97610361505006,996.4520899249302,1193.4144921302795
SF-SFD average,0.463554529897285,0.9144073571109067,4.926749205768095,1049.391580842469,
LHS,0.46403355916712297,0.971121036054367,5.148672570919851,1035.4762379796116,
Sobol,0.4514388018751747,1.0089190418743421,6.134293322403593,996.1446887829223,
Random best,0.4778401110843751,1.0331430954490217,5.101891499719173,1049.9590080534215,
Random average,0.5145033266670068,0.9677274272773302,5.156912663750371,1148.9979134403047,
